security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG00LFZCFT1,Y2238N102,BFFK902,TW0006689003,6689.TWO,61134677,BBG00LFZCFT1,6689 TT,6689,6689 TT Equity,77960892
BBG019BFYKH3,,,,,117902,BBG019BFYKH3,RCFF=SP U22V22,,RCFF=SP U22V22 GR Equity,79101460
BBG019BFY8S8,,,,,117593,BBG019BFY8S8,HLAF=SP U22V22,,HLAF=SP U22V22 GR Equity,79101496
BBG019BFY2G4,,,,,111435,BBG019BFY2G4,CRGG=SP U22V22,,CRGG=SP U22V22 GR Equity,79101530
BBG019BHR777,,,,,9016496,BBG019BHR777,2GEO=SP V22X22,,2GEO=SP V22X22 IM Equity,79101521
BBG019BFYPT9,,,,,25170192,BBG019BFYPT9,SREJ=SP U22V22,,SREJ=SP U22V22 GR Equity,79101564
BBG019BFXYD8,,,,,115239,BBG019BFXYD8,AXAG=SP U22V22,,AXAG=SP U22V22 GR Equity,79101728
BBG019BHR8N7,,,,,239983,BBG019BHR8N7,ERG=SP V22X22,,ERG=SP V22X22 IM Equity,79101741
BBG019BFY9X0,,,,,51522102,BBG019BFY9X0,IILG=SP U22V22,,IILG=SP U22V22 GR Equity,79101706
BBG019BFY880,,,,,156070,BBG019BFY880,GZFH=SP U22V22,,GZFH=SP U22V22 GR Equity,79101762
BBG019BFYKW6,,,,,115508,BBG019BFYKW6,RFXK=SP U22V22,,RFXK=SP U22V22 GR Equity,79101570
BBG019BFYBL8,,,,,50856480,BBG019BFYBL8,ITKG=SP U22V22,,ITKG=SP U22V22 GR Equity,79102002
BBG019BFYHL5,,,,,10550128,BBG019BFYHL5,OZTH=SP U22V22,,OZTH=SP U22V22 GR Equity,79101587
BBG019BJ2752,,,XM3017730325,,233612,BBG019BJ2752,BSAC=SP V22X22,,BSAC=SP V22X22 SM Equity,79101849
BBG019BFXXM0,,,,,221905,BBG019BFXXM0,AOMJ=SP U22V22,,AOMJ=SP U22V22 GR Equity,79101712
BBG019BFY906,,,,,153902,BBG019BFY906,HNRO=SP U22V22,,HNRO=SP U22V22 GR Equity,79102103
BBG019BFY1Q5,,,,,101214,BBG019BFY1Q5,CITG=SP U22V22,,CITG=SP U22V22 GR Equity,79102220
BBG019BFY8N3,,,,,191206,BBG019BFY8N3,HELG=SP U22V22,,HELG=SP U22V22 GR Equity,79101797
BBG019BJ26G2,,,XM3017730655,,225547,BBG019BJ26G2,BMTC=SP V22X22,,BMTC=SP V22X22 SM Equity,79102343
BBG019BFY8J8,,,,,100743,BBG019BFY8J8,HDFF=SP U22V22,,HDFF=SP U22V22 GR Equity,79102236
BBG019BFXWL3,,,,,108259,BBG019BFXWL3,AEMF=SP U22V22,,AEMF=SP U22V22 GR Equity,79101994
BBG019BHR8H4,,,,,115691,BBG019BHR8H4,DBK=SP X22Z22,,DBK=SP X22Z22 IM Equity,79102225
BBG019BFY8B6,,,,,100698,BBG019BFY8B6,HALF=SP U22V22,,HALF=SP U22V22 GR Equity,79102363
BBG019BFYKS1,,,,,101254,BBG019BFYKS1,REPG=SP U22V22,,REPG=SP U22V22 GR Equity,79101967
BBG019BHR7S4,,,,,100155,BBG019BHR7S4,BBVA=SP V22X22,,BBVA=SP V22X22 IM Equity,79102148
BBG019BFXZ18,,,,,100177,BBG019BFXZ18,BAXG=SP U22V22,,BAXG=SP U22V22 GR Equity,79102445
BBG019BFY737,,,,,109221,BBG019BFY737,FTSF=SP U22V22,,FTSF=SP U22V22 GR Equity,79101979
BBG019BJ2850,,,XM3017731802,,305278,BBG019BJ2850,BTL5=SP X22Z22,,BTL5=SP X22Z22 SM Equity,79102191
BBG019BFXXN9,,,,,7989578,BBG019BFXXN9,AOPH=SP U22V22,,AOPH=SP U22V22 GR Equity,79101992
BBG019BFWDN4,,,,,115649,BBG019BFWDN4,1ALV=SP U22V22,,1ALV=SP U22V22 GR Equity,79101954
BBG019BFWDS9,,,,,115679,BBG019BFWDS9,1BAY=SP U22V22,,1BAY=SP U22V22 GR Equity,79102551
BBG019BFYK56,,,,,10544329,BBG019BFYK56,QSVF=SP U22V22,,QSVF=SP U22V22 GR Equity,79102730
BBG019BFY1X7,,,,,127079,BBG019BFY1X7,CMAP=SP U22V22,,CMAP=SP U22V22 GR Equity,79102826
BBG019BFYTJ2,,,,,115757,BBG019BFYTJ2,VOWG=SP U22V22,,VOWG=SP U22V22 GR Equity,79102556
BBG019BFYBX5,,,,,111810,BBG019BFYBX5,JMAG=SP U22V22,,JMAG=SP U22V22 GR Equity,79102868
BBG019BFXWN1,,,,,27639867,BBG019BFXWN1,AENP=SP U22V22,,AENP=SP U22V22 GR Equity,79103259
BBG019BHR7Y7,,,,,905075,BBG019BHR7Y7,BMED=SP X22Z22,,BMED=SP X22Z22 IM Equity,79103394
BBG019BFY1D9,,,,,108613,BBG019BFY1D9,CCJF=SP U22V22,,CCJF=SP U22V22 GR Equity,79102996
BBG019BJ2075,,,XM3017730234,,18686622,BBG019BJ2075,FAMS=SP V22X22,,FAMS=SP V22X22 SM Equity,79103032
BBG019BFXW88,,,,,115227,BBG019BFXW88,ACRI=SP U22V22,,ACRI=SP U22V22 GR Equity,79103395
BBG019BFYRG9,,,,,101491,BBG019BFYRG9,TOTP=SP U22V22,,TOTP=SP U22V22 GR Equity,79102752
BBG019BFYJ95,,,,,128163,BBG019BFYJ95,PIRF=SP U22V22,,PIRF=SP U22V22 GR Equity,79103409
BBG019BFXYS2,,,,,17149777,BBG019BFXYS2,BAEI=SP U22V22,,BAEI=SP U22V22 GR Equity,79102856
BBG019BHRC85,,,,,866006,BBG019BHRC85,IRE=SP V22X22,,IRE=SP V22X22 IM Equity,79103391
BBG019BFY2C8,,,,,111335,BBG019BFY2C8,CPIF=SP U22V22,,CPIF=SP U22V22 GR Equity,79102841
BBG019BFXX31,,,,,64171090,BBG019BFXX31,ALCF=SP U22V22,,ALCF=SP U22V22 GR Equity,79103421
BBG019BJ20J2,,,XM3017730341,,117406,BBG019BJ20J2,BANC=SP U22X22,,BANC=SP U22X22 SM Equity,79103305
BBG019BFY0M1,,,,,7033951,BBG019BFY0M1,BRBF=SP U22V22,,BRBF=SP U22V22 GR Equity,79103076
BBG019BFYKL8,,,,,115475,BBG019BFYKL8,RCOG=SP U22V22,,RCOG=SP U22V22 GR Equity,79103211
BBG019BHR6Q8,,,,,866731,BBG019BHR6Q8,2BZU=SP V22X22,,2BZU=SP V22X22 IM Equity,79103101
BBG019BFYRN1,,,,,101499,BBG019BFYRN1,TRSF=SP U22V22,,TRSF=SP U22V22 GR Equity,79103037
BBG019BFYCD5,,,,,111827,BBG019BFYCD5,KGFG=SP U22V22,,KGFG=SP U22V22 GR Equity,79103068
BBG019BFYJV0,,,,,112080,BBG019BFYJV0,PSNF=SP U22V22,,PSNF=SP U22V22 GR Equity,79102771
BBG019BFYFZ4,,,,,117803,BBG019BFYFZ4,MU2G=SP U22V22,,MU2G=SP U22V22 GR Equity,79103572
BBG019BFYNL2,,,,,115746,BBG019BFYNL2,SIEH=SP U22V22,,SIEH=SP U22V22 GR Equity,79103508
BBG019BJ22R9,,,XM3017731737,,1197824,BBG019BJ22R9,BENG=SP V22X22,,BENG=SP V22X22 SM Equity,79103571
BBG019BFXZR0,,,,,201294,BBG019BFXZR0,BHWF=SP U22V22,,BHWF=SP U22V22 GR Equity,79103606
BBG019BHRF06,,,,,118130,BBG019BHRF06,UNI=SP V22X22,,UNI=SP V22X22 IM Equity,79103573
BBG019BFWG84,,,,,115518,BBG019BFWG84,1SND=SP U22V22,,1SND=SP U22V22 GR Equity,79103605
BBG019BFYP55,,,,,125344,BBG019BFYP55,SMPH=SP U22V22,,SMPH=SP U22V22 GR Equity,79103808
BBG019BJ22D4,,,XM3017731265,,100517,BBG019BJ22D4,ELE=SP X22Z22,,ELE=SP X22Z22 SM Equity,79103828
BBG019BFYF84,,,,,191285,BBG019BFYF84,MELP=SP U22V22,,MELP=SP U22V22 GR Equity,79103842
BBG019BFY6N7,,,,,117509,BBG019BFY6N7,FORF=SP U22V22,,FORF=SP U22V22 GR Equity,79103667
BBG019BFYF93,,,,,10053452,BBG019BFYF93,MERF=SP U22V22,,MERF=SP U22V22 GR Equity,79103847
BBG019BFYG55,,,,,180732,BBG019BFYG55,NDAF=SP U22V22,,NDAF=SP U22V22 GR Equity,79103861
BBG019BFYDX1,,,,,9163439,BBG019BFYDX1,LVSF=SP U22V22,,LVSF=SP U22V22 GR Equity,79104186
BBG019BFYCV5,,,,,119038,BBG019BFYCV5,KRXF=SP U22V22,,KRXF=SP U22V22 GR Equity,79104414
BBG019BHRCF7,,,,,128107,BBG019BHRCF7,LDO=SP X22Z22,,LDO=SP X22Z22 IM Equity,79104513
BBG019BFYLT8,,,,,118412,BBG019BFYLT8,SAPJ=SP U22V22,,SAPJ=SP U22V22 GR Equity,79104813
BBG019BHRDX5,,,,,1422581,BBG019BHRDX5,TRN=SP X22Z22,,TRN=SP X22Z22 IM Equity,79104699
BBG019BFYG82,,,,,9538704,BBG019BFYG82,NEFH=SP U22V22,,NEFH=SP U22V22 GR Equity,79104011
BBG019BFY498,,,,,876285,BBG019BFY498,EADP=SP U22V22,,EADP=SP U22V22 GR Equity,79104275
BBG019BHRCJ3,,,,,180703,BBG019BHRCJ3,MFEB=SP V22X22,,MFEB=SP V22X22 IM Equity,79104443
BBG019BFY2V7,,,,,100976,BBG019BFY2V7,CVSF=SP U22V22,,CVSF=SP U22V22 GR Equity,79104841
BBG019BFYFC9,,,,,162592,BBG019BFYFC9,MINF=SP U22V22,,MINF=SP U22V22 GR Equity,79104606
BBG019BFYF57,,,,,180703,BBG019BFYF57,MDSG=SP U22V22,,MDSG=SP U22V22 GR Equity,79104793
BBG019BJ1ZK4,,,XM3017731844,,903111,BBG019BJ1ZK4,BA3T=SP U22X22,,BA3T=SP U22X22 SM Equity,79104264
BBG019BHRDN6,,,,,14924328,BBG019BHRDN6,TGYM=SP X22Z22,,TGYM=SP X22Z22 IM Equity,79104133
BBG019BFY2Y4,,,,,9093820,BBG019BFY2Y4,D9FF=SP U22V22,,D9FF=SP U22V22 GR Equity,79104226
BBG019BFY700,,,,,162094,BBG019BFY700,FTEG=SP U22V22,,FTEG=SP U22V22 GR Equity,79104396
BBG019BFWFQ6,,,,,53921096,BBG019BFWFQ6,1LIN=SP U22V22,,1LIN=SP U22V22 GR Equity,79104297
BBG019BFY3L6,,,,,186881,BBG019BFY3L6,DPWP=SP U22V22,,DPWP=SP U22V22 GR Equity,79103934
BBG019BFWFK2,,,,,115823,BBG019BFWFK2,1INN=SP U22V22,,1INN=SP U22V22 GR Equity,79104822
BBG019BFYG64,,,,,61564243,BBG019BFYG64,NDBF=SP U22V22,,NDBF=SP U22V22 GR Equity,79104300
BBG019BFYVB5,,,,,112527,BBG019BFYVB5,WTBF=SP U22V22,,WTBF=SP U22V22 GR Equity,79104429
BBG019BFYNT4,,,,,117993,BBG019BFYNT4,SIXF=SP U22V22,,SIXF=SP U22V22 GR Equity,79104725
BBG019BFYG46,,,,,45083102,BBG019BFYG46,NBBF=SP U22V22,,NBBF=SP U22V22 GR Equity,79104530
BBG019BFY595,,,,,143031,BBG019BFY595,ENTP=SP U22V22,,ENTP=SP U22V22 GR Equity,79104565
BBG019BFYLR0,,,,,100158,BBG019BFYLR0,SANP=SP U22V22,,SANP=SP U22V22 GR Equity,79104360
BBG019BFY5R5,,,,,1475463,BBG019BFY5R5,EXPF=SP U22V22,,EXPF=SP U22V22 GR Equity,79104591
BBG019BFWG66,,,,,115746,BBG019BFWG66,1SIE=SP U22V22,,1SIE=SP U22V22 GR Equity,79104938
BBG019BFXYY5,,,,,100169,BBG019BFXYY5,BARH=SP U22V22,,BARH=SP U22V22 GR Equity,79105132
BBG019BFY3N4,,,,,328096,BBG019BFY3N4,DRIG=SP U22V22,,DRIG=SP U22V22 GR Equity,79104881
BBG019BFYLN4,,,,,191301,BBG019BFYLN4,S9LF=SP U22V22,,S9LF=SP U22V22 GR Equity,79105007
BBG019BHRDS1,,,,,115737,BBG019BHRDS1,TITR=SP X22Z22,,TITR=SP X22Z22 IM Equity,79104972
BBG019BFYGB8,,,,,112571,BBG019BFYGB8,NESG=SP U22V22,,NESG=SP U22V22 GR Equity,79104985
BBG019BFYFN7,,,,,115428,BBG019BFYFN7,MOHP=SP U22V22,,MOHP=SP U22V22 GR Equity,79105025
BBG019BFY327,,,,,328683,BBG019BFY327,DAIP=SP U22V22,,DAIP=SP U22V22 GR Equity,79104896
BBG019BFYDS7,,,,,10575328,BBG019BFYDS7,LRCF=SP U22V22,,LRCF=SP U22V22 GR Equity,79105115
BBG018W57JD1,,,,,,BBG018W57JD1,UBPH3Z3,,UBPH3Z3 Index,79052304
BBG018W54TL3,,,,,,BBG018W54TL3,FCRM3Z3,,FCRM3Z3 Index,79052250
BBG018W54TH8,,,,,,BBG018W54TH8,FCRU2Z3,,FCRU2Z3 Index,79052208
BBG013ZHNQM9,,,DE000C6J0JZ3,FBTPU2,16790530,BBG013ZHNQM9,IKU2,IK,IKU2 Comdty,78529501
BBG018W57M62,,,,,,BBG018W57M62,UBSH3Z3,,UBSH3Z3 Index,79052326
BBG018W573B8,,,,,,BBG018W573B8,FCIZ2Z3,,FCIZ2Z3 Index,79052216
BBG018W572J2,,,,,,BBG018W572J2,UBRZ2Z3,,UBRZ2Z3 Index,79052233
